epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
87,308.385,0.38076,0.41067,0.40142,0.85337,0,0.97364,1,0.995,0.9668,0.97364,1,0.995,0.91026,0.32757,0.31466,0.31017,0.78733,0,0.000247716,0.000247716,0.000247716
88,311.619,0.37933,0.4202,0.37016,0.8686,0,0.98652,1,0.995,0.96721,0.98652,1,0.995,0.90816,0.33004,0.3142,0.30834,0.79038,0,0.000231213,0.000231213,0.000231213
89,314.868,0.40463,0.46478,0.37211,0.86253,0,0.98895,1,0.995,0.96164,0.98895,1,0.995,0.90419,0.33491,0.31481,0.30777,0.79319,0,0.00021471,0.00021471,0.00021471
90,318.012,0.35012,0.36158,0.34943,0.86013,0,0.97157,1,0.995,0.97373,0.97157,1,0.995,0.90004,0.32239,0.31561,0.3012,0.79441,0,0.000198206,0.000198206,0.000198206
91,321.151,0.26843,0.2793,0.26009,0.82869,0,0.97919,1,0.995,0.97176,0.97919,1,0.995,0.90501,0.3202,0.31522,0.29544,0.7924,0,0.000181703,0.000181703,0.000181703
92,324.173,0.27529,0.28349,0.27671,0.81763,0,0.99193,1,0.995,0.97386,0.99193,1,0.995,0.90567,0.32629,0.31263,0.29758,0.79116,0,0.0001652,0.0001652,0.0001652
93,327.12,0.28976,0.30095,0.30705,0.80525,0,0.99116,1,0.995,0.96913,0.99116,1,0.995,0.90112,0.32607,0.30853,0.30192,0.78897,0,0.000148696,0.000148696,0.000148696
94,330.199,0.26806,0.28425,0.26435,0.83518,0,0.98994,1,0.995,0.97067,0.98994,1,0.995,0.9019,0.31687,0.30738,0.29646,0.78099,0,0.000132193,0.000132193,0.000132193
95,333.223,0.28555,0.28535,0.29946,0.84317,0,0.98755,1,0.995,0.97957,0.98755,1,0.995,0.90563,0.30642,0.30836,0.28798,0.77858,0,0.00011569,0.00011569,0.00011569
96,336.377,0.25635,0.26186,0.24956,0.84122,0,0.98017,1,0.995,0.98015,0.98017,1,0.995,0.91043,0.30399,0.30988,0.29106,0.77712,0,9.91865e-05,9.91865e-05,9.91865e-05
97,339.552,0.25771,0.26061,0.24021,0.78861,0,0.9755,1,0.995,0.98065,0.9755,1,0.995,0.91062,0.30949,0.31065,0.28347,0.77811,0,8.26832e-05,8.26832e-05,8.26832e-05
98,342.739,0.25432,0.26019,0.24454,0.83772,0,0.9697,1,0.995,0.98556,0.9697,1,0.995,0.91334,0.31423,0.31059,0.29836,0.77743,0,6.61799e-05,6.61799e-05,6.61799e-05
99,345.966,0.25883,0.26269,0.23822,0.8527,0,0.97114,1,0.995,0.97423,0.97114,1,0.995,0.91336,0.3117,0.30991,0.29811,0.77524,0,4.96766e-05,4.96766e-05,4.96766e-05
100,348.898,0.25498,0.25822,0.24832,0.82956,0,0.96968,1,0.995,0.96802,0.96968,1,0.995,0.90224,0.30551,0.30897,0.29418,0.77116,0,3.31733e-05,3.31733e-05,3.31733e-05
